Gebruiker,Renner,Team,Uitgevallen,,Eind,Berg,Sprint,Jongeren,Punten
Aukjii,Mikel Landa,Soudal Quick-Step,Ja,1,0,0,0,-,0
Aukjii,Giulio Ciccone,Lidl - Trek,Nee,2,10,40,0,-,5
Aukjii,Thymen Arensman,INEOS Grenadiers,Nee,2,0,0,0,-,0
Aukjii,Wout van Aert,Team Visma,Nee,3,55,0,35,-,20
Aukjii,Juan Ayuso,UAE Team Emirates - XRG,Nee,4,0,0,0,16,0
Aukjii,Michael Storer,Tudor Pro Cycling Team,Nee,1,0,0,0,-,0
Aukjii,Thomas Pidcock,Q36.5 Pro Cycling Team,Nee,3,40,0,14,-,14
Aukjii,Giulio Pellizzari,Red Bull - BORA - hansgrohe,Nee,1,0,0,0,14,0
Aukjii,Mads Pedersen,Lidl - Trek,Nee,4,60,25,40,-,25
Aukjii,Wilco Kelderman,Team Visma,Nee,0,0,0,0,-,0
Aukjii,Wout Poels,XDS Astana Team,Nee,0,0,0,0,-,0
Aukjii,Egan Bernal,INEOS Grenadiers,Nee,0,0,0,0,-,0
Aukjii,Matteo Moschetti,Q36.5 Pro Cycling Team,Nee,0,0,0,0,-,0
Aukjii,David Gaudu,Groupama - FDJ,Nee,1,0,0,0,-,0
Jan Peter Blok,Pello Bilbao,Bahrain - Victorious,Nee,0,0,25,0,-,0
Jan Peter Blok,Olav Kooij,Team Visma,Nee,3,0,0,0,0,0
Jan Peter Blok,Andrea Vendrame,Decathlon AG2R La Mondiale Team,Nee,0,0,0,0,-,0
Jan Peter Blok,Thymen Arensman,INEOS Grenadiers,Nee,2,0,0,0,-,0
Jan Peter Blok,Quinten Hermans,Alpecin - Deceuninck,Nee,0,0,0,0,-,0
Jan Peter Blok,Antonio Tiberi,Bahrain - Victorious,Nee,2,8,0,0,24,4
Jan Peter Blok,Juan Ayuso,UAE Team Emirates - XRG,Nee,4,0,0,0,16,0
Jan Peter Blok,Michael Storer,Tudor Pro Cycling Team,Nee,1,0,0,0,-,0
Jan Peter Blok,Luke Plapp,Team Jayco AlUla,Nee,1,0,0,0,0,0
Jan Peter Blok,Wout van Aert,Team Visma,Nee,3,55,0,35,-,20
Jan Peter Blok,Mads Pedersen,Lidl - Trek,Nee,4,60,25,40,-,25
Jan Peter Blok,Kaden Groves,Alpecin - Deceuninck,Nee,3,0,0,0,-,0
Jan Peter Blok,Max Poole,Team Picnic PostNL,Nee,0,25,0,6,28,8
Jan Peter Blok,Adam Yates,UAE Team Emirates - XRG,Nee,3,0,0,0,-,0
Li_anne,Giulio Ciccone,Lidl - Trek,Nee,2,10,40,0,-,5
Li_anne,Juan Ayuso,UAE Team Emirates - XRG,Nee,4,0,0,0,16,0
Li_anne,Derek Gee,Israel - Premier Tech,Nee,2,0,0,0,-,0
Li_anne,Mads Pedersen,Lidl - Trek,Nee,4,60,25,40,-,25
Li_anne,Milan Fretin,Cofidis,Nee,1,0,0,0,0,0
Li_anne,Sam Bennett,Decathlon AG2R La Mondiale Team,Nee,0,0,0,0,-,0
Li_anne,Olav Kooij,Team Visma,Nee,3,0,0,0,0,0
Li_anne,Thomas Pidcock,Q36.5 Pro Cycling Team,Nee,3,40,0,14,-,14
Li_anne,Mathias Vacek,Lidl - Trek,Nee,0,0,14,0,18,0
Li_anne,Richard Carapaz,EF Education - EasyPost,Nee,2,30,0,8,-,10
Li_anne,Wilco Kelderman,Team Visma,Nee,0,0,0,0,-,0
Li_anne,Joshua Tarling,INEOS Grenadiers,Nee,1,0,0,0,8,0
Li_anne,Pello Bilbao,Bahrain - Victorious,Nee,0,0,25,0,-,0
Li_anne,Thymen Arensman,INEOS Grenadiers,Nee,2,0,0,0,-,0
Onweerstijnbaar,Primož Roglič,Red Bull - BORA - hansgrohe,Nee,4,2,0,0,-,1
Onweerstijnbaar,Koen Bouwman,Team Jayco AlUla,Nee,0,0,0,0,-,0
Onweerstijnbaar,Romain Bardet,Team Picnic PostNL,Nee,1,0,0,0,-,0
Onweerstijnbaar,Wout Poels,XDS Astana Team,Nee,0,0,0,0,-,0
Onweerstijnbaar,Juan Ayuso,UAE Team Emirates - XRG,Nee,4,0,0,0,16,0
Onweerstijnbaar,Max Poole,Team Picnic PostNL,Nee,0,25,0,6,28,8
Onweerstijnbaar,Diego Ulissi,XDS Astana Team,Nee,0,35,0,10,-,12
Onweerstijnbaar,Mads Pedersen,Lidl - Trek,Nee,4,60,25,40,-,25
Onweerstijnbaar,Sam Bennett,Decathlon AG2R La Mondiale Team,Nee,0,0,0,0,-,0
